smiles,logP,qed,SAS
"CC(C)(C)N(CC(=O)[O-])C(=O)C[NH2+]C1CCCC1
",-1.1306,0.7118354491079999,4.190751964453454
"C[C@@H]1C[C@@H](C)CN(C(=O)c2ccc(Cn3cc(Br)cn3)cc2)C1
",3.812,0.792111182774,2.8723947647158514
"C[C@H]1CN(Cc2c[nH+]cn2C2CC2)C[C@@H](C)[NH2+]1
",-0.2069,0.800593509788,5.539996972990859
"COC(=O)Nc1nc(CC(=O)Nc2cccc([N-]S(C)(=O)=O)c2)cs1
",2.4674,0.7877566188580001,3.075489363266943
"Cn1cc(S(=O)(=O)N(Cc2ccncc2)C2CC2)c(=O)n(C)c1=O
",-0.1677,0.770335160183,2.5455281886054024
"Cc1cc(NC(=O)CN2CCO[C@H](c3ccccc3Cl)C2)no1
",2.64842,0.926670210309,2.72645543130578
"CC(C)CCCCNC(=O)N1CCC[C@@H](c2nnc3ccccn23)C1
",3.4446,0.800105630231,2.8269523840190782
"Cc1ccc2cc(C(=O)N[C@H](C)c3cccc(C#N)c3)c(C)nc2c1
",4.21432,0.751235951501,2.5566259554476503
"C[C@H]1OCC[C@H]1C(=O)Nc1cnccc1-c1cccc(F)c1
",3.2512,0.9310572396,3.1381857538315643
"CC[NH+](CC)C[C@@H]1CCN(Cc2ccc(OC)cc2O)C1
",1.1474,0.801779403265,3.668383457974735
"Cc1ccncc1NC(=O)N(C)CC1CCC(C)CC1
",3.68002,0.8893398187799999,2.2625668942925365
"CC[C@@](C)([NH3+])C(=O)Nc1ccccc1Cc1ccccc1
",2.6265,0.867707656858,2.8532369129942925
"O=C(c1ccccc1)N1CC[NH+](C[C@@H](O)COc2cccc3ccccc23)CC1
",1.6204,0.6773303891689999,3.388041295608005
"O=C(Cc1noc(-c2cscn2)n1)Nc1ccc2c(c1)OCCO2
",2.1455,0.776549025958,2.5812965092987934
"C[C@H]1CN([C@@H](C)C(=O)Nc2ccccc2C(C)(C)C)C[C@@H](C)O1
",3.4203,0.909309897951,3.047730778336124
"O=Cc1ccc(C(=O)OCC(=O)Nc2ccc(F)cc2)cc1
",2.4337,0.679675280365,1.695618146268643
"CCOC(=O)[C@@]1(Nc2cccc(C)c2)CCCS[C@H]1C
",3.62432,0.8383076187790001,3.4676518184098715
"Cc1ccc(C(=O)C(=O)N(CCO)Cc2ccccc2)cc1
",2.19882,0.6585871720759999,1.9096819179808
"CC[NH+](CC)C(C)(C)[C@@H](O)c1cc(F)ccc1F
",1.7015,0.831891418192,3.970329953539752
"CC[C@@H](C)C(=O)Nc1cccc(C[NH2+][C@H]2CCOc3c(F)cccc32)c1
",3.3975,0.815997916003,3.7879772142937966
"CCOCc1ccc(NC(=O)NC2CCC(Oc3ccc(C#N)cn3)CC2)cc1
",4.00148,0.713683459465,2.378848438004741
"CC(C)(C)OC(=O)N1CCO[C@H](C(N)=O)C1
",0.1076,0.7111531761859999,2.7413042935204377
"CNC(=O)NCC(=O)NCCc1nc(-c2ccccc2)c(C)s1
",1.70622,0.7588064782610001,2.2069085303702853
"Cc1cc(C)c(S(=O)(=O)Nc2ccc(N3CC[NH2+]CC3)c(C(=O)N3CCOCC3)c2)c(C)c1
",1.26846,0.6899350195730001,3.102098117358418
"O=C(Nc1ccccc1SCc1ccsc1)c1cccc(F)c1
",5.4318,0.606526638525,2.002268131182788
"CCOc1ccccc1C(=O)Oc1ccccc1
",3.3045,0.59855884668,1.4779322898972411
"CCCCN(CCCC)C(=O)c1ccccn1
",3.124,0.716366657428,1.9298136972251712
"CCOc1ccc([C@H]2NC(=O)c3ccccc3O2)cc1
",2.9063,0.923789134092,2.5165920758598688
"O=C(CSCc1ccccc1Cl)NNC(=O)Nc1ccc2c(c1)OCO2
",3.1548,0.669517050626,2.212874412540584
"C#CCOC(=O)[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H](C)CC
",2.6609,0.646704436865,2.855988029801096
"COC(=O)c1ccc(N2C(=O)N=C([O-])/C(=C\c3ccc(OCc4cccc(F)c4)cc3)C2=O)cc1
",3.5003,0.391561727466,2.6944399369152023
"CCOc1ccc(-c2nc(NC(=O)Cc3cccs3)sc2C)cc1
",4.75992,0.660531003641,2.0886548775686133
"C[C@@H]1CC(C(=O)Nc2cc([N+](=O)[O-])ccc2O)C[C@@H](C)O1
",2.4425,0.5060552574,3.1006641431614197
"C#CCN(CC(=O)[O-])C(=O)Nc1cccc(C#N)c1
",-0.22472,0.7778644929359999,2.9617705411576534
"CC[NH+]1CCC2=c3ccccc3=[NH+][C@H]2[C@@H]1c1c([O-])[nH]c(=O)[nH]c1=O
",-4.5803,0.420523444983,5.770811344018783
"COCc1cccc(CNC(=O)Cn2cc(Br)cn2)c1
",2.1084,0.8812132975820001,2.1075530423550006
"CCCc1c(C[NH2+]C)cnn1-c1cc(C)ccc1C
",2.13484,0.8789521437100001,3.1480948070949104
"C[C@H](NC(=O)Nc1ccc(Oc2ccccc2C#N)cc1)c1ccncc1
",4.62828,0.665260079751,2.500029624473356
"CS(=O)(=O)[C@@H]1CCC[C@@H](NC(=O)N2CCOc3ccccc3C2)C1
",1.9464,0.8875808820829999,3.1864565774932627
"COc1cccc(S(=O)(=O)Nc2ccc(-n3nnn(C)c3=O)cc2)c1
",0.7754,0.731143781698,2.1866705768359838
"CCC[NH2+][C@@H](C)C1CCN(c2ccc(C(N)=O)nn2)CC1
",0.1538,0.8013135256380001,3.824307577922585
"C=CCNC(=O)c1ccc(OCc2cn3ccccc3n2)cc1
",2.8291,0.707609651221,2.1765994744663715
"CCNC(=O)Cn1c([C@H](C)NC(=O)CC)nc2ccccc21
",1.7596,0.8597671264319999,2.52594572192705
"O=C(NNc1nc(-c2ccccc2)no1)c1cnn(-c2ccccc2)c1
",2.6792,0.537060212396,2.2785295893637603
"Cc1noc(C)c1CC(=O)N(C)CC1CC[NH+](CCc2ccccc2F)CC1
",1.96904,0.793366409207,3.490738411264416
"C[C@H](CNc1ccc(C(N)=O)cc1)C(N)=O
",0.3188,0.6826292003509999,2.3936851777524857
"CC(C)[C@@H]1C[C@H](C(F)(F)F)n2nc([C@H]3CC[NH+](CC(N)=O)C3)cc2N1
",0.6842,0.752272437962,5.5553271245333
"O=C(c1ccoc1)N1CCN(Cc2nnc(-c3ccccc3F)o2)CC1
",2.4267,0.714595066062,2.30725013723694
"CCCS(=O)(=O)c1ccccc1C(=O)N[C@H](C)[C@H]1CCCO1
",2.1676,0.8726692320909999,2.9881500125236915
"C[C@@H](C[C@H]1CCC[NH2+]1)N[C@@H](C)c1nc2ccccc2[nH]1
",1.7179,0.782726300319,4.385370213092226
"CN(CCCc1cc(-c2ccc(F)cc2)n[nH]1)C(=O)C1CCC1
",3.4069,0.870042164315,2.286664506701644
"CC(C)NC(=O)CCNC(=O)C(=O)Nc1ccc(C(C)C)cc1
",1.7794,0.703559318388,1.9082432469192447
"COc1ccc(CCNC(=O)[C@H]2CCCN(C(=O)C3=C[C@@H]4N=CC=C4C=C3)C2)cc1
",2.4681,0.7898944859010001,3.589804788609978
"CC(=O)c1c(C)[nH]c(C(=O)N2CCN(Cc3ccc(C#N)cc3)CC2)c1C
",2.66382,0.842803706831,2.2260508849149456
"CC(C)COC(=O)c1ccccc1SCC(=O)N1CCCC1
",3.2139,0.586984205763,2.002513679767402
"CC[NH+](c1ccc(NC(=O)C(=O)N2C[C@H]3CC=CC[C@@H]3C2)cc1)C(C)C
",1.9944,0.643685791659,4.449684946370872
"COc1ccc(N2C(=O)CSC23CCN(S(=O)(=O)c2ccc(OC)cc2)CC3)cc1
",2.9646,0.6933715500159999,2.862513574245785
"COc1ccc(Cl)c(NNC(=O)[C@H]2C[C@H]2C)c1
",2.4477,0.811522213705,2.8310214295125977
"CC[NH+](Cc1ccc(N2CCOCC2)cc1)C[C@@H](O)c1ccc(C)cc1
",1.97002,0.801723002608,3.65479245753704
"CC(C)[NH+]1CCC(CC(=O)NCc2cccc(C[NH+]3CCCC3)c2)CC1
",0.5749,0.667002447722,4.319153181771353
"CC#CC[NH+]1CCC[C@H]1[C@@H]1CCCC1=O
",0.4262,0.663812732988,5.366165378710614
"Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2
",3.81104,0.691789680398,2.545686177141297
"Cc1nc(=O)[nH]c(C)c1CC(=O)Nc1sccc1C(=O)[O-]
",-0.00706,0.8480867282979999,2.9666355232661767
"COc1nc2ccccc2cc1CN(C)Cc1csc([C@H](C)OC)n1
",4.0393,0.6154669856930001,3.055365141332187
"CCC[C@H](CO)c1ccccc1C
",2.87102,0.7455307682439999,2.4638197440051086
"C[C@H]1CCN(C(=O)c2cc3cc(F)ccc3oc2=O)C[C@@H]1O
",1.775,0.821203283778,3.0519512735577385
"CCCc1noc(CS[C@@H](C)C(=O)OC)n1
",1.8168,0.7159634285809999,2.945714133680278
"CC(C)C[NH+](C(C)C)[C@@]1(CN)CSCC(C)(C)C1
",1.7963,0.805675834069,5.241197392428633
"O=C(CSc1nc2ccccc2c(=O)n1C[C@@H]1CCCO1)OC1CCCCC1
",3.5435,0.408237110201,2.763556581810916
"O=C(NCc1ccc(OCC(F)(F)F)cc1)NOC1CCCC1
",3.3011,0.7723078852509999,2.3905490037430663
"COc1cccc([C@H](NC(=O)C2=NC=C([N+](=O)[O-])C2)c2nccn2C)c1
",1.5971,0.630206610148,3.43151485753792
"Cc1ccc(C[NH+](C)C[C@@H]2CCC[NH+]3CCCC[C@H]23)o1
",0.45012,0.837294541256,5.828685668769162
"CSCc1csc(NC(=O)c2cc(Cl)ccc2Cl)n1
",4.5652,0.8521359434450001,2.128641686630468
"CC(=O)NC(=O)NC(=O)/C(C#N)=C/Nc1ccc(O)cc1
",0.5838800000000001,0.372308865733,2.602420948367392
"Cc1ccccc1[C@@H]1CN(c2ccc(OC(F)F)cn2)CCO1
",3.56932,0.8414842559929999,2.8098617250120737
"CC[C@H](CNC(=O)CNC(N)=O)[NH+]1CCc2ccccc2C1
",-0.8093,0.579513879178,4.215252290520681
"COc1ccc(/C=C/C(=O)Nc2ccccc2I)c(OC)c1
",3.9603,0.580376848157,2.01985263758378
"Cc1cc(Br)ccc1NC(=O)C[NH+](C)[C@@H](C)C(=O)Nc1cc(Cl)ccc1C
",3.1997400000000003,0.619495179536,3.5587929046216216
"c1ccc2c(c1)C[C@@H]2C[NH2+][C@H]1CCCC[C@@H]1[C@@H]1CCC[NH2+]1
",1.1743,0.843571528775,5.234305384677647
"COc1ccc(C)c2sc(N3CCN(S(=O)(=O)c4ccc(F)cc4)CC3)nc12
",3.26332,0.636462646061,2.1980982944192355
"CC(C)(C)OC(=O)CSc1nc([O-])cc(=O)n1-c1ccc(Cl)cc1
",2.3933,0.4685840326899999,2.733405585055108
"O=C1Nc2ccccc2CC[C@H]1Sc1nnnn1-c1ccc2c(c1)OCCO2
",2.4791,0.727786526127,3.0486987527460623
"COc1cc(NS(C)(=O)=O)c(OC)cc1Cl
",1.7287,0.907389655181,1.9059210028208595
"Cn1ncc2c1C[C@H](c1ccccc1)C[C@H]2Cl
",3.43,0.690691371752,3.341600564042664
"C[NH2+][C@@H]1[C@@H](CN2CCN(S(C)(=O)=O)CC2)CCCC1(C)C
",-0.0483,0.81424287138,3.991168596602715
"CSC1(C#N)CCN(C(=O)Cc2ccc(F)c(F)c2)CC1
",2.75508,0.857375184145,2.5787043631377387
"Cc1ccnn1CCC(=O)N1CCCC[C@@H]1c1ccnc2cc(C(C)(C)C)nn12
",3.67562,0.658590892566,3.348101200695744
"CCc1ccc(C(=O)NNc2ncnc3[nH]cnc23)cc1
",1.6722,0.637775602611,2.40307388524932
"CCC[NH+](C1CCC([NH3+])CC1)[C@H]1CCN(C)C1=O
",-0.9349,0.702522903847,5.581783317142216
"CCNC(=O)CN(CC)S(=O)(=O)c1cc2ccccc2o1
",1.5795,0.886132841444,2.3872717371430454
"CC(C)CC(=O)NCC[C@H](c1ccccc1)c1ccco1
",3.9639,0.8074241672069999,2.5257597682746056
"CC1(C)[C@@H](C(=O)NCCc2ccccc2)CC[C@@]1(C)C(=O)[O-]
",1.5377,0.90506511148,3.286497402183212
"CCc1nn(C)c2c1[nH]c(=S)n2[C@H]1CCC[C@@H](CC)C1
",4.13609,0.830563823617,3.784592752475806
"C[C@H](NC(=O)[C@@H](O)c1ccccc1)c1ccc(Br)cc1
",3.3599,0.883774066857,2.495879290937344
"O=C(CSc1nnc(COc2ccc(F)cc2)o1)c1ccc[nH]1
",3.0908,0.521928800374,2.392014629460631
"Cc1ccc[n+](C[C@H](Br)C(=O)[O-])c1
",-0.20408,0.563388488325,4.061015348400712
"Cc1ccc(/C=C/C(=O)OCC(=O)Nc2ccc(C)cc2)cc1
",3.49854,0.663897264015,1.7205549209028297
"Cc1ccccc1[C@H](C#N)C(=O)C(=O)Nc1cccc(Cl)c1
",3.4634,0.8598927806919999,2.6251409299976665
"C[C@@H]1CCCN(C(=O)CN(Cc2cccnc2)C[C@@H]2CCCO2)C1
",2.3211,0.80356877587,3.01261014568977
"Cc1c(C(=O)NCC[NH+]2CCCCC2)cnn1C(C)C
",0.57102,0.8437084980239999,3.824430355830998
"OCCC#Cc1cc(F)cc(C[NH+]2CCCCCCC2)c1
",1.9086,0.821715306014,3.755745511983241
"[NH3+]Cc1c(F)cccc1Oc1ccc(F)cc1F
",2.6381,0.894717080811,2.56051204137653
"CCc1ccc([C@@H](C)C(=O)N[C@@H](C#N)CC)cc1
",2.77088,0.860534199388,2.935257728445201
"CC(C)(C)c1nnc(S[C@@H]2C=CCCC2)o1
",3.5679,0.720404597385,3.729300777036922
"O=C(c1c(F)cccc1Cl)N(Cc1ccc2[nH]ccc2c1)C1CC1
",4.7652,0.69622428157,2.306829862813548
"CCCCNC(=O)c1cccc2c1N[C@H](c1c(O)ccc3ccccc13)[C@@H]1CC=C[C@@H]21
",5.9018,0.356291408018,3.4426175377488075
"Cc1nn(-c2ccccc2)c(CSc2ncnc3ccccc23)c1C#N
",4.2879,0.386029495601,2.3658357647673043
"Cn1nc2c(cc1=O)C[NH+](Cc1nnc(C3CC3)o1)CC2
",-0.8181,0.835605316176,4.475545152889992
"COC(=O)C1(NC(=O)c2cnc(-c3ccccc3)s2)CCCCC1
",3.4158,0.845599531305,2.36647093108032
"O=C1CC(=O)Nc2cc(S(=O)(=O)Nc3ccc4nc(N5CCOCC5)sc4c3)ccc2N1
",2.2144,0.496859185397,2.6368299698206865
"O=C1C[C@@H](C(=O)[O-])C2(CC[NH+](Cc3c[nH]nc3-c3ccc(Cl)cc3)CC2)N1
",-0.4664,0.6842913703419999,5.240737098681733
"CCN([C@H]1CCS(=O)(=O)C1)S(=O)(=O)c1c(C)nn(C)c1C
",0.23464,0.805060580023,3.1214269710718074
"COc1ccc(Cl)cc1[C@H](O)[C@H]1CSCCS1
",3.2306,0.910962637902,3.602057549913935
"O=Cc1ccc(/C=C\c2ccccc2)cc1
",3.6695,0.540306335291,1.72385845898172
"CCCn1c(S[C@H](C)C#N)nc2cc(Cl)ccc21
",4.10388,0.7615071250100001,2.776816650757427
"CCNC(=O)c1ccc(N(C)CCS(C)(=O)=O)[nH+]n1
",-0.8738,0.7686715673540001,3.6507394412620737
"Cc1cc2cc(C[NH+]3CCCC[C@@H]3[C@H]3CNC(=O)C3)oc2cc1C
",2.12314,0.910514833617,4.6728958020160265
"C[C@H](CNC(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccccc1
",3.3947,0.811092705809,2.2944893724177184
"CCOc1ccccc1[C@@H]1C[C@H](c2ccc(Cl)cc2)Nc2nc(N)nn21
",4.0587,0.698149403926,3.463021380613961
"COc1ccc(CC(=O)n2nnc3ccccc32)cc1
",2.3228,0.731429395323,1.9371248139590769
"Cc1cccc(-n2ncc(C(=O)N3CCC([NH+]4CCCCC4)CC3)c2-n2cccc2)c1
",2.64482,0.705713640704,3.490785022283716
"O=C1CCCN1C[C@H](NC(=O)N1CCC[C@@H]2CCC[C@@H]21)c1ccccc1
",3.3242,0.884474001183,3.240228748711286
"CCN(C1CC[NH+](Cc2ccc(F)c(C(F)(F)F)c2)CC1)S(C)(=O)=O
",1.6733,0.792862488145,3.739397045591109
"CN[C@]1(C#N)CCC[C@H](N2CC[NH+]3CCCC[C@@H]3C2)C1
",0.16378,0.775197805825,5.336650655506562
"CC[C@H](CCCl)C[NH2+]Cc1ccc(Cl)s1
",3.12,0.721402108198,4.319330695217781
"CCCc1cc(C(=O)N(Cc2ccccn2)Cc2ccco2)[nH]n1
",3.1928,0.7133231028210001,2.5735053314625453
"C[C@@H](C[NH+]1CCc2ccccc2C1)NC(=O)C1=NNC(=O)CC1
",-0.6017,0.722888598602,4.348419552236022
"C[C@H](Nc1nccn(C)c1=O)c1ccc(Cl)s1
",2.6683,0.928259049217,2.9190118786191626
"O=C(NCc1cccs1)c1cccc(S(=O)(=O)N2CCCC2)c1
",2.4626,0.900163756075,1.9201523603864208
"O=C([O-])[C@H]1CCCN1C(=O)Cc1csc(-c2cccs2)n1
",1.155,0.857427750985,3.176618999043836
"CC(C)CN(C(=O)c1ccc(F)cc1)c1nnc(-c2ccncc2)s1
",4.042,0.667032528516,2.3330204669458734
"COC(=O)C1(N(C)C(=O)c2cc([N+](=O)[O-])ccc2Cl)CCCCC1
",3.1961,0.463259842555,2.576053632392385
"C[C@H](CCCO)NC(=O)[C@@H]1CC(=O)N(CC2CC2)C1
",0.5221,0.721140877142,3.038299970769493
"CCS(=O)(=O)[N-]c1ccc(NC(=O)NCc2cccc(C(F)(F)F)c2)cc1C
",4.69042,0.6867521293950001,2.9769383138934327
"[NH3+]CC[C@H]1CCC[NH+](Cc2cc(Cl)ccn2)C1
",0.1619,0.811665896601,5.269858334843291
"CC[NH2+][C@@]1(CO)CCC[C@H]([NH+]2CCCCC2)C1
",-0.6878,0.6264642597860001,5.950727408626652
"Cc1ccc(C(C)(C)C)c(OCC(=O)c2nc(C)c(C(=O)[O-])s2)c1
",2.68264,0.774577933704,2.8835556405284795
"CCc1ncc(CN(C)Cc2cc3c(cc2O)OCO3)s1
",2.7718,0.915011893124,2.644474389662937
"Cc1[nH]nc(C(=O)Nc2ncccc2Br)c1[N+](=O)[O-]
",2.03612,0.664731520042,2.5900412512168245
"O=C(CCNC(=O)c1ccsc1)NCc1ccccc1CO
",1.6767,0.7325002866600001,2.058868412131812
"CC(=O)NC[C@H]1CCCN(C(=O)[C@H](C)Oc2ccc(F)c(F)c2)C1
",2.1068,0.89661509173,2.8733447510843764
"Cc1ccc([C@H]2CC[NH2+]C[C@H]2CC(C)C)cc1F
",2.84712,0.8431859877150001,4.110435624834524
"Cc1ccc(N2C(=O)[C@H]3[C@@H]4C[C@H]([C@H]3C2=O)[C@H]2Sc3[nH]c(=O)sc3C(C)(C)[C@H]42)cc1
",3.56842,0.690841654967,4.985235227050242
"Cc1ccc(N2C(=O)NC(=O)/C(=C/Nc3c(C)nn(-c4ccc(C)c(C)c4)c3C)C2=O)cc1C
",4.30162,0.431237000249,2.6299652115297167
"O=S(=O)(NCC1CCN(S(=O)(=O)c2cccnc2)CC1)c1ccccc1Cl
",2.1142,0.7610578081300001,2.2107466096113004
"CN(C)C(=O)[C@H](Sc1nc2ccccc2n1C(F)F)c1ccccc1
",4.353,0.6075423123070001,2.7560679334696285
"Cc1cc(C)n2nc(C)c(C(=O)NC[C@@H](C)Oc3ccccc3)c2n1
",2.85186,0.770927538169,2.7667413400630334
"CN(C)C(=O)c1ccc(CSCC(=O)NCc2cccs2)cc1
",2.9995,0.8280707771570001,2.06195208066614
"N#Cc1cc(NC(=O)C2CCN(c3nc4ccsc4c(=O)n3Cc3ccccc3)CC2)ccc1F
",4.37218,0.432333990053,2.516277200641575
"CCc1ccc(C(=O)[C@H](C#N)c2nc(-c3ccc(C#N)cc3)cs2)o1
",4.32726,0.614082680819,3.0840032778435624
"CC(C)c1cnc(C[NH2+][C@](C)(CO)C2CCCCC2)o1
",2.1927,0.842451011205,4.11779523993717
"CN1C(=O)c2ccc(C(=O)N3CCc4ccccc4C3)cc2C1=O
",2.1109,0.7592668280629999,2.0441723967501986
"C[C@H](Sc1ncc(-c2ccccc2)n1C1CC1)c1nc2ccccc2c(=O)[nH]1
",4.9748,0.469489472114,2.9430183078897136
"O=C(NC[C@H]1CCCN(c2ncccn2)C1)c1ccc(C(F)(F)F)cc1
",3.1418,0.893321894067,2.5907123940628534
"Cc1ccc2[nH+]c(CN3CCC[C@@H](c4[nH+]ccn4CC4CCC4)C3)cn2c1
",2.85712,0.68028546349,4.708417932465268
